respondent_id,segment_true,task_id,alternative,price_usd,storage_gb,support,ads,family_seats,offline_download,chosen
1,PowerUser,1,A,8,50,Standard,Ads,1,Yes,0
1,PowerUser,1,B,12,200,Standard,NoAds,4,No,0
1,PowerUser,1,C,5,1000,Standard,Ads,4,No,1
1,PowerUser,2,A,5,200,Priority,Ads,1,No,0
1,PowerUser,2,B,5,200,Standard,NoAds,4,Yes,1
1,PowerUser,2,C,12,50,Priority,Ads,4,No,0
1,PowerUser,3,A,12,200,Standard,Ads,1,Yes,0
1,PowerUser,3,B,8,50,Priority,NoAds,1,Yes,0
1,PowerUser,3,C,8,200,Priority,Ads,6,No,1
1,PowerUser,4,A,15,50,Priority,Ads,6,Yes,0
1,PowerUser,4,B,15,50,Standard,NoAds,1,No,0
1,PowerUser,4,C,8,50,Priority,Ads,6,No,1
1,PowerUser,5,A,12,50,Standard,NoAds,1,Yes,0
1,PowerUser,5,B,15,50,Priority,NoAds,6,Yes,0
1,PowerUser,5,C,8,200,Priority,Ads,6,No,1
1,PowerUser,6,A,12,200,Standard,Ads,6,No,1
1,PowerUser,6,B,12,50,Priority,Ads,1,Yes,0
1,PowerUser,6,C,15,50,Priority,NoAds,6,No,0
1,PowerUser,7,A,8,1000,Priority,NoAds,1,Yes,1
1,PowerUser,7,B,15,50,Standard,Ads,6,No,0
1,PowerUser,7,C,5,50,Priority,NoAds,1,No,0
1,PowerUser,8,A,12,1000,Standard,Ads,4,No,0
1,PowerUser,8,B,12,1000,Priority,NoAds,1,Yes,1
1,PowerUser,8,C,5,50,Priority,Ads,1,Yes,0
1,PowerUser,9,A,12,1000,Priority,NoAds,4,Yes,1
1,PowerUser,9,B,5,1000,Standard,Ads,1,No,0
1,PowerUser,9,C,15,1000,Priority,NoAds,1,No,0
1,PowerUser,10,A,12,50,Standard,NoAds,1,Yes,0
1,PowerUser,10,B,15,1000,Priority,Ads,6,No,1
1,PowerUser,10,C,8,50,Priority,Ads,6,No,0
2,Family,1,A,5,50,Standard,Ads,4,Yes,1
2,Family,1,B,12,50,Priority,NoAds,1,Yes,0
2,Family,1,C,15,1000,Standard,NoAds,1,No,0
2,Family,2,A,8,200,Priority,NoAds,6,Yes,1
2,Family,2,B,15,200,Standard,Ads,4,Yes,0
2,Family,2,C,8,1000,Priority,Ads,1,No,0
2,Family,3,A,8,200,Standard,Ads,4,No,0
2,Family,3,B,8,50,Priority,Ads,6,No,0
2,Family,3,C,12,200,Priority,NoAds,6,No,1
2,Family,4,A,15,50,Priority,NoAds,1,Yes,0
2,Family,4,B,12,200,Priority,NoAds,6,No,1
2,Family,4,C,12,50,Priority,NoAds,4,No,0
2,Family,5,A,5,1000,Priority,Ads,1,Yes,1
2,Family,5,B,8,200,Priority,Ads,6,No,0
2,Family,5,C,8,200,Standard,Ads,4,Yes,0
2,Family,6,A,8,1000,Standard,NoAds,4,Yes,1
2,Family,6,B,5,1000,Standard,Ads,4,Yes,0
2,Family,6,C,5,200,Standard,NoAds,4,No,0
2,Family,7,A,15,50,Priority,Ads,4,No,0
2,Family,7,B,15,1000,Priority,Ads,6,No,1
2,Family,7,C,12,50,Priority,Ads,6,Yes,0
2,Family,8,A,5,200,Priority,Ads,6,Yes,1
2,Family,8,B,15,200,Priority,Ads,6,Yes,0
2,Family,8,C,8,1000,Standard,Ads,4,Yes,0
2,Family,9,A,15,200,Standard,NoAds,4,Yes,0
2,Family,9,B,15,50,Standard,NoAds,1,No,0
2,Family,9,C,8,1000,Priority,Ads,6,No,1
2,Family,10,A,15,50,Priority,Ads,4,Yes,0
2,Family,10,B,12,50,Priority,NoAds,4,Yes,0
2,Family,10,C,8,50,Standard,NoAds,1,Yes,1
3,PowerUser,1,A,15,50,Priority,NoAds,4,Yes,0
3,PowerUser,1,B,15,200,Priority,NoAds,4,No,0
3,PowerUser,1,C,12,1000,Priority,NoAds,4,Yes,1
3,PowerUser,2,A,5,200,Priority,Ads,6,Yes,1
3,PowerUser,2,B,15,1000,Priority,Ads,4,Yes,0
3,PowerUser,2,C,5,50,Standard,NoAds,4,Yes,0
3,PowerUser,3,A,15,200,Standard,Ads,1,Yes,0
3,PowerUser,3,B,12,200,Priority,Ads,6,Yes,0
3,PowerUser,3,C,12,1000,Priority,Ads,6,Yes,1
3,PowerUser,4,A,15,200,Standard,NoAds,4,No,0
3,PowerUser,4,B,12,200,Standard,Ads,1,Yes,0
3,PowerUser,4,C,8,1000,Priority,Ads,1,No,1
3,PowerUser,5,A,12,200,Standard,Ads,6,Yes,0
3,PowerUser,5,B,12,200,Priority,NoAds,1,Yes,1
3,PowerUser,5,C,15,200,Standard,NoAds,1,No,0
3,PowerUser,6,A,15,50,Standard,NoAds,1,Yes,0
3,PowerUser,6,B,12,1000,Standard,NoAds,4,No,1
3,PowerUser,6,C,15,50,Standard,Ads,6,No,0
3,PowerUser,7,A,8,200,Standard,NoAds,6,No,0
3,PowerUser,7,B,8,200,Priority,NoAds,1,Yes,0
3,PowerUser,7,C,15,1000,Standard,NoAds,6,No,1
3,PowerUser,8,A,5,200,Standard,NoAds,6,Yes,0
3,PowerUser,8,B,5,200,Standard,Ads,4,Yes,0
3,PowerUser,8,C,5,1000,Priority,Ads,4,No,1
3,PowerUser,9,A,15,1000,Standard,NoAds,6,No,0
3,PowerUser,9,B,5,200,Standard,NoAds,4,No,0
3,PowerUser,9,C,8,1000,Priority,Ads,4,Yes,1
3,PowerUser,10,A,12,200,Priority,Ads,1,Yes,0
3,PowerUser,10,B,8,1000,Priority,NoAds,1,No,1
3,PowerUser,10,C,8,1000,Priority,Ads,4,No,0
4,ValueSeeker,1,A,15,200,Priority,NoAds,6,No,0
4,ValueSeeker,1,B,8,1000,Standard,Ads,6,No,1
4,ValueSeeker,1,C,12,50,Standard,NoAds,1,No,0
4,ValueSeeker,2,A,12,50,Standard,NoAds,1,No,0
4,ValueSeeker,2,B,8,1000,Priority,NoAds,1,No,1
4,ValueSeeker,2,C,8,200,Priority,NoAds,4,Yes,0
4,ValueSeeker,3,A,8,1000,Priority,NoAds,4,Yes,1
4,ValueSeeker,3,B,12,1000,Priority,NoAds,6,No,0
4,ValueSeeker,3,C,8,1000,Priority,Ads,6,No,0
4,ValueSeeker,4,A,5,200,Standard,NoAds,6,Yes,1
4,ValueSeeker,4,B,8,1000,Priority,NoAds,1,No,0
4,ValueSeeker,4,C,15,50,Standard,NoAds,1,No,0
4,ValueSeeker,5,A,15,1000,Standard,NoAds,4,Yes,0
4,ValueSeeker,5,B,5,50,Priority,Ads,4,No,0
4,ValueSeeker,5,C,5,200,Standard,NoAds,6,Yes,1
4,ValueSeeker,6,A,12,50,Priority,Ads,1,Yes,0
4,ValueSeeker,6,B,15,200,Priority,Ads,6,Yes,0
4,ValueSeeker,6,C,12,200,Standard,NoAds,6,Yes,1
