user_id,age,tenure_days,region,device,prior_spend_12m,sessions_30d,offer_received,upgraded_to_new_tier,new_tier_monthly_revenue
1,54,675,NA,iOS,8.99,6,1,0,0.0
2,59,540,NA,Android,1.64,5,0,0,0.0
3,50,821,APAC,Web,5.96,8,1,1,5.38
4,24,548,NA,Web,1.36,11,0,0,0.0
5,18,47,NA,Web,5.41,11,1,0,0.0
6,46,765,NA,Android,1.25,12,1,1,7.19
7,35,505,EU,Android,29.37,13,1,0,0.0
8,27,444,EU,Android,22.7,12,0,0,0.0
9,39,416,NA,iOS,10.35,17,0,0,0.0
10,29,123,NA,iOS,25.18,22,0,0,0.0
11,64,104,NA,iOS,6.32,4,1,0,0.0
12,28,1076,NA,iOS,0.89,2,1,0,0.0
13,56,1143,NA,iOS,28.04,14,1,0,0.0
14,37,18,NA,Web,1.9,7,0,0,0.0
15,19,1148,NA,Android,10.92,7,0,0,0.0
16,32,846,NA,iOS,0.64,7,0,0,0.0
17,48,510,APAC,iOS,5.86,5,0,0,0.0
18,30,123,NA,Android,1.89,16,0,0,0.0
19,42,1095,NA,iOS,3.0,4,1,0,0.0
20,18,572,NA,iOS,9.7,3,0,0,0.0
21,65,632,NA,Web,8.27,20,0,1,9.04
22,55,430,EU,Android,2.15,14,0,1,4.56
23,39,1132,NA,iOS,6.65,6,1,1,5.33
24,55,511,EU,iOS,16.72,3,0,0,0.0
25,62,1036,NA,iOS,0.52,7,1,0,0.0
26,39,128,NA,Web,1.16,8,1,0,0.0
27,24,1027,NA,Android,9.63,2,0,0,0.0
28,49,702,APAC,Android,0.66,3,1,0,0.0
29,47,20,NA,Android,20.02,17,1,0,0.0
30,37,12,EU,Web,1.02,4,0,0,0.0
31,65,905,NA,Android,1.76,10,0,0,0.0
32,51,24,NA,Android,2.68,13,0,0,0.0
33,47,31,EU,iOS,1.52,11,1,0,0.0
34,31,554,NA,iOS,2.26,7,1,0,0.0
35,62,414,EU,iOS,26.75,14,1,0,0.0
36,38,1051,NA,Android,0.69,3,0,1,13.71
37,56,745,APAC,iOS,2.27,8,0,0,0.0
38,56,860,EU,Android,1.14,6,0,0,0.0
39,41,158,EU,iOS,9.56,6,0,0,0.0
40,52,524,NA,iOS,1.91,10,0,0,0.0
41,29,179,NA,Android,0.52,10,0,0,0.0
42,62,1148,LATAM,iOS,2.02,4,0,0,0.0
43,60,99,APAC,Android,6.4,3,0,0,0.0
44,27,821,NA,iOS,2.03,6,0,0,0.0
45,47,396,EU,Web,7.59,5,0,1,3.39
46,37,658,NA,Android,2.03,11,0,0,0.0
47,35,336,LATAM,Android,9.98,7,1,0,0.0
48,35,145,APAC,Web,0.55,3,0,0,0.0
49,28,58,LATAM,Web,2.47,12,0,0,0.0
50,40,337,NA,iOS,1.76,12,0,0,0.0
51,65,194,NA,iOS,4.39,11,1,0,0.0
52,57,422,NA,Android,0.73,4,0,0,0.0
53,48,887,NA,iOS,2.03,8,1,0,0.0
54,55,613,NA,Android,2.64,19,0,0,0.0
55,21,1041,NA,Android,2.0,6,0,0,0.0
56,65,997,NA,Web,2.51,10,1,0,0.0
57,48,53,NA,Android,2.53,7,0,0,0.0
58,20,837,LATAM,iOS,11.98,9,1,1,7.38
59,21,741,APAC,Android,1.29,12,1,0,0.0
60,25,158,APAC,iOS,1.97,3,0,0,0.0
61,37,265,NA,Android,2.37,5,0,0,0.0
62,28,1089,APAC,Android,53.15,21,1,0,0.0
63,42,285,NA,Android,3.57,7,0,0,0.0
64,51,741,APAC,Android,4.44,15,0,0,0.0
65,58,628,APAC,Android,4.12,12,0,0,0.0
66,40,1020,EU,iOS,5.97,18,0,1,12.41
67,38,667,APAC,iOS,2.41,16,0,0,0.0
68,60,94,EU,Android,7.31,8,1,0,0.0
69,53,178,EU,iOS,4.99,6,0,0,0.0
70,43,424,NA,Android,26.03,6,0,1,12.71
71,54,14,APAC,iOS,1.1,11,1,0,0.0
72,34,216,NA,Web,3.89,13,1,0,0.0
73,22,38,APAC,Android,0.58,3,0,0,0.0
74,41,175,EU,Web,22.15,14,0,0,0.0
75,41,23,LATAM,Android,4.36,4,0,1,11.89
76,32,1094,EU,Web,1.53,8,1,0,0.0
77,36,929,EU,Android,2.1,23,1,0,0.0
78,46,18,NA,Android,3.09,12,0,1,10.49
79,54,474,NA,iOS,1.8,15,0,1,5.73
80,27,157,EU,Web,2.55,13,0,0,0.0
81,30,137,LATAM,Web,1.4,2,1,0,0.0
82,65,1070,EU,Android,2.26,15,1,0,0.0
83,24,933,APAC,Android,9.6,17,0,1,11.05
84,40,1013,APAC,iOS,4.28,10,0,0,0.0
85,33,354,NA,Web,4.1,14,1,0,0.0
86,63,181,EU,iOS,1.94,2,1,0,0.0
87,43,233,NA,Android,1.22,8,1,0,0.0
88,46,1006,NA,Android,1.22,17,1,0,0.0
89,20,157,NA,Web,4.31,14,0,0,0.0
90,51,503,EU,Android,7.1,15,0,0,0.0
91,32,753,NA,Android,3.61,17,0,0,0.0
92,32,233,NA,Android,12.54,4,1,0,0.0
93,48,673,APAC,iOS,4.83,10,0,0,0.0
94,30,731,NA,iOS,2.15,7,1,1,2.88
95,62,179,EU,iOS,0.95,14,1,0,0.0
96,18,794,NA,iOS,0.69,8,1,0,0.0
97,33,28,NA,iOS,12.11,7,0,0,0.0
98,21,403,APAC,iOS,1.4,13,0,0,0.0
99,56,1095,NA,Android,1.83,9,1,0,0.0
100,52,422,NA,Android,2.07,6,0,0,0.0
101,24,89,EU,Android,3.74,2,0,1,6.28
102,35,1096,EU,iOS,6.29,7,1,0,0.0
103,29,999,EU,iOS,10.23,6,1,0,0.0
104,25,222,EU,Android,1.73,8,0,0,0.0
105,49,121,APAC,Web,0.96,6,0,0,0.0
106,31,1148,NA,iOS,5.81,12,1,0,0.0
107,55,921,APAC,iOS,1.92,12,1,1,32.65
108,53,406,NA,iOS,2.4,1,1,0,0.0
109,27,1080,NA,Android,1.11,3,0,1,5.44
110,58,180,EU,Web,0.63,7,0,1,11.4
111,37,653,APAC,iOS,1.14,11,0,1,7.31
112,32,1041,EU,Web,5.88,5,0,0,0.0
113,41,752,NA,iOS,1.17,13,1,1,6.53
114,50,14,NA,Android,4.4,1,0,0,0.0
115,47,241,EU,Android,3.67,7,1,0,0.0
116,46,331,LATAM,Android,1.77,1,1,1,10.61
117,28,111,APAC,iOS,6.06,19,0,0,0.0
118,39,54,APAC,Web,13.31,12,0,0,0.0
119,42,745,APAC,Android,3.26,8,0,0,0.0
120,35,968,APAC,Android,8.71,6,0,0,0.0
121,64,562,NA,iOS,0.8,6,0,0,0.0
122,61,518,NA,iOS,2.29,17,0,0,0.0
123,44,1157,NA,Web,33.18,4,0,1,18.63
124,36,122,NA,iOS,4.16,12,0,0,0.0
125,32,884,EU,Android,4.0,9,1,0,0.0
126,56,1167,APAC,iOS,7.38,5,1,0,0.0
127,65,190,NA,iOS,5.35,9,1,0,0.0
128,53,331,NA,iOS,2.86,21,1,1,14.88
