respondent_id,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16
1,3,4,2,2,3,1,1,3,3,2,3,1,2,3,2,2
2,1,4,4,5,1,5,5,4,2,2,3,3,5,2,5,3
3,4,4,4,4,3,3,5,5,3,1,2,5,3,4,3,4
4,4,4,2,2,1,2,2,1,1,1,1,1,1,2,2,1
5,2,4,4,4,5,5,4,3,2,3,2,3,4,5,3,3
6,3,5,4,3,4,4,5,4,4,1,3,3,3,5,4,3
7,5,4,4,4,3,3,4,4,3,3,3,3,4,4,4,4
8,3,3,4,2,3,3,3,3,3,3,2,2,2,2,3,2
9,5,4,5,4,4,3,2,3,1,1,1,2,2,3,4,2
10,2,4,4,3,3,3,3,2,2,1,1,3,3,3,1,4
11,5,5,2,4,5,4,3,4,2,2,1,1,3,4,3,5
12,4,4,3,5,5,5,5,4,4,3,2,3,4,5,3,5
13,3,4,3,4,3,3,3,4,4,4,4,3,4,2,4,3
14,4,4,4,4,4,4,5,2,2,1,3,2,3,1,2,3
15,5,4,5,3,4,4,3,3,3,4,3,4,2,2,5,3
16,5,4,4,4,3,3,2,3,3,3,1,2,4,4,4,2
17,4,4,4,3,3,4,4,2,1,3,4,3,4,3,2,3
18,5,4,5,5,3,3,1,2,3,4,2,3,3,2,4,3
19,4,5,5,3,5,4,4,3,3,3,3,3,3,5,3,3
20,4,3,4,2,3,2,1,2,2,3,1,2,3,2,1,3
21,4,5,5,3,3,2,3,3,3,2,3,3,4,3,3,3
22,4,4,3,4,3,3,3,2,3,1,2,1,2,3,2,3
23,5,5,4,2,3,5,4,4,4,5,3,2,4,3,5,4
24,4,4,3,5,3,1,3,2,3,3,3,3,2,4,2,3
25,4,5,3,4,3,3,4,5,4,2,3,2,5,3,4,3
26,4,5,3,4,3,3,3,2,1,1,2,3,3,2,3,3
27,3,4,5,3,2,2,2,5,3,3,4,2,2,3,2,2
28,4,4,5,3,5,3,4,1,1,1,3,2,2,2,1,4
29,4,3,4,3,5,3,4,3,3,3,2,1,2,4,4,2
30,5,5,5,4,2,4,3,4,4,2,2,3,4,2,5,4
31,4,4,4,4,5,5,4,4,3,3,2,3,5,4,3,2
32,4,5,5,4,4,3,3,3,1,3,2,3,5,4,3,3
33,4,5,5,4,4,5,4,4,3,3,2,3,4,5,5,3
34,5,3,4,3,3,2,1,3,2,2,2,3,3,2,1,2
35,4,4,4,3,4,2,4,4,1,1,2,2,3,3,4,2
36,4,4,3,5,3,4,5,3,3,3,3,3,4,3,5,4
