week,date,spend_search,spend_social,spend_influencer,spend_email,spend_affiliate,weekly_revenue
1,2022-01-03,111,294,1029,274,120,7535.4
2,2022-01-10,606,363,858,165,250,7509.67
3,2022-01-17,481,499,1042,163,224,7023.48
4,2022-01-24,352,252,838,216,286,7114.32
5,2022-01-31,100,424,1243,203,234,6931.01
6,2022-02-07,768,429,935,195,280,6328.81
7,2022-02-14,433,302,2088,166,126,7461.55
8,2022-02-21,659,177,572,181,218,6415.2
9,2022-02-28,754,296,730,140,273,7456.13
10,2022-03-07,664,145,1089,178,195,7546.36
11,2022-03-14,556,265,748,211,322,7142.54
12,2022-03-21,745,206,1071,151,128,8182.83
13,2022-03-28,714,349,587,213,270,7465.76
14,2022-04-04,732,294,878,212,221,7824.62
15,2022-04-11,237,101,1053,214,207,7337.03
16,2022-04-18,514,322,1739,197,277,8105.43
17,2022-04-25,451,363,830,172,232,7837.03
18,2022-05-02,1246,94,1059,171,225,8292.55
19,2022-05-09,454,355,1221,252,355,8474.19
20,2022-05-16,877,81,985,174,373,8380.74
21,2022-05-23,230,222,1182,261,182,8710.77
22,2022-05-30,512,272,1079,198,234,8745.1
23,2022-06-06,285,297,800,202,169,8762.53
24,2022-06-13,642,268,2256,210,159,8937.45
25,2022-06-20,999,397,1170,88,295,9346.34
26,2022-06-27,404,355,684,179,252,8699.03
27,2022-07-04,774,291,1863,161,301,9227.19
28,2022-07-11,770,332,797,104,181,8519.16
29,2022-07-18,741,182,1510,187,315,9352.07
30,2022-07-25,550,276,870,207,253,8153.27
31,2022-08-01,566,250,1039,176,170,8497.76
32,2022-08-08,630,407,913,173,206,8781.28
33,2022-08-15,646,259,1906,153,395,8914.15
34,2022-08-22,634,342,494,177,285,8673.72
35,2022-08-29,771,244,939,149,333,8412.44
36,2022-09-05,572,159,1026,205,243,8356.64
37,2022-09-12,720,326,1112,162,149,8576.06
38,2022-09-19,667,327,1918,200,346,8269.1
39,2022-09-26,353,256,583,125,295,8144.42
40,2022-10-03,399,50,934,163,293,8220.35
41,2022-10-10,725,191,738,163,267,7865.16
42,2022-10-17,707,397,584,260,281,7936.37
43,2022-10-24,838,351,1110,116,291,7481.89
44,2022-10-31,108,347,581,294,112,7630.88
45,2022-11-07,735,334,1062,180,387,7421.83
46,2022-11-14,100,289,703,270,325,8002.66
47,2022-11-21,588,297,968,165,198,8367.08
48,2022-11-28,100,396,1014,244,256,6946.68
49,2022-12-05,897,194,1020,153,125,8034.76
50,2022-12-12,411,396,802,183,253,7495.88
51,2022-12-19,1078,330,1030,120,282,8443.34
52,2022-12-26,646,183,581,176,339,8067.05
53,2023-01-02,786,300,521,177,254,8111.44
54,2023-01-09,726,326,713,181,234,8322.0
55,2023-01-16,995,274,1004,114,226,8254.35
56,2023-01-23,593,222,966,192,253,8456.73
57,2023-01-30,349,161,947,202,227,8303.42
58,2023-02-06,339,185,958,153,297,8242.22
59,2023-02-13,398,246,714,244,276,8509.49
60,2023-02-20,612,200,1007,190,269,8369.4
61,2023-02-27,677,378,711,186,262,8031.61
62,2023-03-06,543,296,650,208,403,8732.68
63,2023-03-13,634,132,940,171,164,8690.75
64,2023-03-20,942,326,742,121,331,8722.45
65,2023-03-27,211,311,631,222,148,8245.07
66,2023-04-03,479,292,858,179,507,8412.74
67,2023-04-10,826,318,996,181,218,8860.95
68,2023-04-17,365,349,840,183,250,9005.73
69,2023-04-24,828,345,719,188,271,8627.87
70,2023-05-01,507,365,886,144,295,9716.61
71,2023-05-08,471,355,1127,210,169,9037.31
72,2023-05-15,557,345,735,183,384,9461.47
73,2023-05-22,638,326,2244,199,241,8587.88
74,2023-05-29,525,248,753,213,290,9286.62
75,2023-06-05,934,312,834,145,406,9555.41
76,2023-06-12,521,309,1951,209,190,9574.0
77,2023-06-19,863,145,830,162,356,9750.16
78,2023-06-26,842,189,2485,218,392,9648.27
79,2023-07-03,556,147,887,172,300,10355.41
80,2023-07-10,907,212,905,147,215,10246.21
81,2023-07-17,1006,349,1002,159,430,9988.18
82,2023-07-24,745,305,1175,193,359,9771.15
83,2023-07-31,796,206,648,127,219,10223.38
84,2023-08-07,219,276,1607,174,257,10014.44
85,2023-08-14,734,277,2333,204,330,9554.64
86,2023-08-21,849,240,1451,141,306,9917.23
87,2023-08-28,1010,207,1014,121,206,9707.75
88,2023-09-04,508,263,1223,185,236,9195.42
89,2023-09-11,653,329,645,150,355,9333.65
90,2023-09-18,871,284,860,123,310,9352.96
91,2023-09-25,454,332,1230,216,79,9475.48
92,2023-10-02,747,425,1194,150,463,9329.16
93,2023-10-09,100,357,914,231,282,8573.64
94,2023-10-16,738,367,944,126,234,8882.71
95,2023-10-23,246,223,954,203,248,9009.05
96,2023-10-30,238,428,1088,230,312,8552.72
97,2023-11-06,531,283,1030,147,191,9314.54
98,2023-11-13,491,308,2552,182,254,8944.04
99,2023-11-20,600,67,1087,174,327,8914.3
100,2023-11-27,100,219,1482,249,330,8965.78
101,2023-12-04,363,296,732,205,207,8781.63
102,2023-12-11,1002,201,809,118,277,9025.03
103,2023-12-18,599,243,810,212,322,9775.64
104,2023-12-25,367,229,1759,188,244,9380.13
