user_id,age,household_size,prior_orders,weekly_app_sessions,region,device,trial_offer_sent,converted_to_paid,first_month_revenue
1,46.0,5.0,9.0,9.0,West,mobile,1,0,0.0
2,27.0,2.0,12.0,6.0,West,desktop,0,1,24.21
3,57.0,4.0,10.0,9.0,West,mobile,1,0,0.0
4,53.0,2.0,3.0,5.0,Northeast,mobile,0,0,0.0
5,60.0,3.0,14.0,8.0,nan,tablet,0,0,0.0
6,64.0,2.0,10.0,4.0,Midwest,mobile,0,0,0.0
7,34.0,2.0,14.0,2.0,West,desktop,0,0,0.0
8,56.0,3.0,10.0,1.0,nan,tablet,1,1,24.97
9,63.0,2.0,9.0,5.0,Midwest,mobile,0,1,25.3
10,22.0,3.0,12.0,6.0,nan,tablet,1,1,27.95
11,49.0,3.0,12.0,7.0,Southeast,desktop,1,1,26.34
12,57.0,3.0,6.0,10.0,West,desktop,0,0,0.0
13,27.0,1.0,9.0,11.0,nan,mobile,0,0,0.0
14,23.0,3.0,13.0,4.0,Northeast,mobile,1,0,0.0
15,35.0,4.0,11.0,0.0,Midwest,mobile,1,0,0.0
16,27.0,1.0,1.0,6.0,nan,mobile,0,0,0.0
17,30.0,2.0,13.0,10.0,Southeast,desktop,0,0,0.0
18,32.0,1.0,8.0,7.0,West,tablet,1,0,0.0
19,32.0,2.0,2.0,6.0,Northeast,tablet,1,1,24.31
20,43.0,5.0,10.0,5.0,Southeast,mobile,1,1,23.68
21,62.0,1.0,14.0,11.0,West,mobile,1,1,29.31
22,58.0,2.0,12.0,9.0,Midwest,mobile,0,1,30.59
23,26.0,1.0,2.0,10.0,West,mobile,1,0,0.0
24,57.0,5.0,9.0,0.0,Midwest,mobile,0,0,0.0
25,54.0,3.0,2.0,3.0,nan,mobile,1,0,0.0
26,38.0,1.0,9.0,1.0,Northeast,mobile,0,0,0.0
27,39.0,2.0,7.0,6.0,West,mobile,0,0,0.0
28,42.0,4.0,14.0,0.0,Midwest,mobile,1,1,29.3
29,60.0,4.0,0.0,10.0,nan,mobile,1,0,0.0
30,29.0,4.0,6.0,11.0,nan,mobile,0,0,0.0
31,43.0,3.0,11.0,9.0,Southeast,mobile,1,0,0.0
32,62.0,3.0,8.0,1.0,West,desktop,0,1,23.44
33,50.0,5.0,7.0,6.0,Midwest,tablet,1,1,26.83
34,33.0,2.0,10.0,9.0,Southeast,mobile,0,0,0.0
35,57.0,5.0,4.0,4.0,Northeast,mobile,1,0,0.0
36,30.0,5.0,4.0,1.0,Northeast,desktop,0,0,0.0
37,32.0,5.0,5.0,9.0,West,mobile,1,0,0.0
38,64.0,4.0,5.0,5.0,Midwest,tablet,0,0,0.0
39,55.0,2.0,3.0,10.0,Northeast,mobile,0,0,0.0
40,31.0,4.0,10.0,6.0,nan,tablet,1,0,0.0
41,55.0,3.0,5.0,4.0,Midwest,mobile,0,0,0.0
42,29.0,5.0,5.0,9.0,nan,tablet,1,0,0.0
43,35.0,5.0,2.0,9.0,Southeast,mobile,1,1,25.78
44,64.0,1.0,13.0,1.0,Northeast,tablet,0,0,0.0
45,37.0,4.0,2.0,3.0,nan,mobile,1,0,0.0
46,25.0,4.0,8.0,7.0,West,mobile,1,0,0.0
47,64.0,4.0,14.0,11.0,Northeast,desktop,0,0,0.0
48,23.0,5.0,10.0,10.0,Southeast,mobile,1,1,31.96
49,64.0,1.0,14.0,1.0,Southeast,desktop,0,0,0.0
50,41.0,5.0,2.0,11.0,West,mobile,1,0,0.0
51,33.0,1.0,7.0,5.0,Northeast,mobile,0,1,20.53
52,34.0,1.0,14.0,11.0,Northeast,desktop,0,1,17.78
53,27.0,4.0,1.0,2.0,West,desktop,1,0,0.0
54,59.0,5.0,14.0,11.0,Northeast,desktop,1,0,0.0
55,63.0,5.0,1.0,6.0,West,mobile,0,0,0.0
56,53.0,1.0,10.0,4.0,Southeast,desktop,0,0,0.0
57,31.0,5.0,12.0,4.0,Midwest,mobile,1,1,29.65
58,45.0,4.0,3.0,2.0,Northeast,mobile,0,0,0.0
59,52.0,3.0,12.0,11.0,Northeast,desktop,1,1,30.79
60,22.0,4.0,8.0,5.0,Midwest,mobile,1,0,0.0
61,49.0,2.0,9.0,7.0,Southeast,mobile,0,1,25.32
62,33.0,3.0,1.0,2.0,Midwest,mobile,1,0,0.0
63,53.0,2.0,0.0,3.0,Northeast,desktop,0,0,0.0
64,60.0,2.0,0.0,11.0,nan,mobile,0,0,0.0
65,37.0,4.0,5.0,0.0,Midwest,mobile,0,0,0.0
66,32.0,2.0,4.0,5.0,Midwest,mobile,1,0,0.0
67,39.0,4.0,9.0,6.0,nan,tablet,1,0,0.0
68,23.0,2.0,3.0,3.0,Northeast,desktop,0,0,0.0
69,32.0,5.0,6.0,6.0,Midwest,tablet,0,1,24.56
70,31.0,1.0,14.0,11.0,Midwest,mobile,1,0,0.0
71,23.0,2.0,14.0,4.0,Southeast,mobile,1,1,29.33
72,54.0,2.0,11.0,3.0,Southeast,tablet,0,0,0.0
73,42.0,3.0,8.0,2.0,Northeast,desktop,1,0,0.0
74,58.0,3.0,10.0,5.0,West,tablet,0,0,0.0
75,34.0,1.0,10.0,10.0,West,mobile,1,0,0.0
76,34.0,3.0,11.0,5.0,Midwest,desktop,0,0,0.0
77,40.0,3.0,5.0,8.0,Northeast,desktop,0,0,0.0
78,31.0,3.0,5.0,10.0,Northeast,desktop,1,1,29.85
79,54.0,3.0,8.0,1.0,Midwest,mobile,1,0,0.0
80,58.0,4.0,14.0,5.0,Southeast,desktop,1,0,0.0
81,51.0,4.0,10.0,11.0,West,mobile,1,1,26.79
82,30.0,1.0,8.0,4.0,Northeast,desktop,1,0,0.0
83,55.0,4.0,14.0,3.0,Southeast,mobile,0,0,0.0
84,37.0,5.0,3.0,1.0,nan,mobile,1,0,0.0
85,64.0,3.0,11.0,1.0,Southeast,mobile,0,0,0.0
86,38.0,2.0,10.0,6.0,West,mobile,0,1,26.97
87,47.0,3.0,3.0,9.0,Southeast,tablet,0,0,0.0
88,39.0,1.0,8.0,7.0,West,desktop,1,0,0.0
89,59.0,3.0,7.0,6.0,Midwest,mobile,0,0,0.0
90,25.0,1.0,9.0,3.0,Midwest,desktop,0,1,19.09
91,64.0,2.0,14.0,6.0,Northeast,mobile,1,0,0.0
92,58.0,5.0,4.0,7.0,Northeast,desktop,1,1,26.1
93,23.0,5.0,6.0,2.0,Northeast,mobile,0,0,0.0
94,31.0,3.0,8.0,5.0,West,mobile,0,0,0.0
95,36.0,5.0,1.0,7.0,nan,desktop,1,0,0.0
96,37.0,2.0,1.0,0.0,Southeast,tablet,0,0,0.0
97,47.0,2.0,6.0,7.0,Southeast,mobile,0,0,0.0
98,49.0,5.0,12.0,0.0,Southeast,mobile,0,0,0.0
99,29.0,4.0,5.0,5.0,Southeast,mobile,1,0,0.0
100,56.0,3.0,9.0,0.0,West,desktop,1,0,0.0
101,22.0,2.0,11.0,3.0,Midwest,tablet,1,0,0.0
102,47.0,4.0,9.0,4.0,West,mobile,0,1,24.28
103,54.0,5.0,8.0,1.0,Northeast,mobile,1,0,0.0
104,37.0,2.0,8.0,9.0,West,desktop,1,0,0.0
105,39.0,4.0,7.0,10.0,West,mobile,1,0,0.0
106,22.0,2.0,14.0,3.0,nan,mobile,0,0,0.0
107,28.0,2.0,5.0,6.0,West,desktop,0,0,0.0
108,43.0,2.0,1.0,7.0,Midwest,mobile,0,0,0.0
109,27.0,5.0,13.0,5.0,Midwest,tablet,1,1,32.24
110,46.0,2.0,7.0,10.0,Northeast,mobile,0,0,0.0
111,61.0,3.0,14.0,10.0,Southeast,desktop,1,0,0.0
112,37.0,5.0,10.0,6.0,nan,tablet,0,0,0.0
113,52.0,3.0,8.0,8.0,nan,mobile,1,0,0.0
114,49.0,1.0,9.0,11.0,nan,mobile,1,0,0.0
115,53.0,5.0,5.0,10.0,West,mobile,1,1,26.54
116,55.0,1.0,10.0,3.0,Southeast,mobile,1,0,0.0
117,52.0,5.0,4.0,11.0,West,mobile,1,0,0.0
118,23.0,2.0,14.0,6.0,Midwest,mobile,1,0,0.0
119,56.0,4.0,8.0,11.0,Northeast,desktop,1,0,0.0
120,56.0,4.0,7.0,6.0,Northeast,mobile,0,0,0.0
121,39.0,2.0,3.0,11.0,West,desktop,1,0,0.0
122,47.0,2.0,11.0,2.0,West,mobile,0,0,0.0
123,57.0,1.0,6.0,9.0,Southeast,mobile,0,0,0.0
124,35.0,2.0,7.0,5.0,nan,mobile,0,0,0.0
125,29.0,1.0,2.0,1.0,Northeast,tablet,0,0,0.0
126,51.0,1.0,11.0,7.0,Northeast,mobile,1,0,0.0
127,35.0,3.0,1.0,6.0,Southeast,mobile,0,0,0.0
128,52.0,5.0,7.0,1.0,Midwest,desktop,1,0,0.0
129,39.0,2.0,11.0,1.0,Midwest,mobile,1,0,0.0
130,54.0,4.0,6.0,7.0,West,mobile,0,1,20.92
131,29.0,2.0,2.0,11.0,Northeast,mobile,0,0,0.0
132,39.0,4.0,14.0,6.0,Midwest,mobile,0,1,28.53
133,45.0,3.0,0.0,4.0,Midwest,tablet,0,0,0.0
134,46.0,4.0,10.0,4.0,nan,mobile,1,1,25.32
135,58.0,4.0,0.0,8.0,West,mobile,0,0,0.0
136,42.0,5.0,10.0,4.0,nan,desktop,1,1,31.66
137,64.0,3.0,14.0,6.0,nan,mobile,0,1,26.84
